roman,devanagari
dhani,धनी
bhugol,भूगोल
sanskriti,संस्कृति
ra,र
dharmharuko,धर्महरूको
des,देश
ho,हो
himali,हिमाली
uttarma,उत्तरमा
viswaka,विश्वका
chaudha,१४
uchchatam,उच्चतम
pahadharumaddhye,पहाडहरूमध्ये
aath,आठ
chhan,छन्
urvara,उर्वर
ra,र
ardra,आर्द्र
daksin,दक्षिणी
ksetra,क्षेत्र
sahari,शहरी
chha,छ
yaha,यहाँ
dherai,धेरै
jati,जाति
ra,र
dharmaka,धर्मका
manis,मानिस
baschan,बस्छन्
lagbhag,लगभग
saya,सय
bhasaharu,भाषाहरु
bolinchhan,बोलिन्छन्
hamro,हाम्रो
lokapriya,लोकप्रिय
khanaharu,खानाहरू
dal,दाल
bhat,भाट
dindo,डिन्डो
gunrdruk,गुनर्दुक
ityadi,इत्यादि
hun,हुन्
dasain,दशैं
tihar,तिहार
losar,लोसार
aadi,आदि
sabhaibhanda,सबैभन्दा
lokapriya,लोकप्रिय
chadparvaharu,चाडपर्वहरू
hun,हुन्
nepal,नेपाल
sano,सानो
chha,छ
tara,तर
prakritik,प्राकृतिक
srotsadhanma,स्रोतसाधनमा
dhani,धनी
chha,छ
tara,तर
arthik,आर्थिक
awasthale,अवस्थाले
garda,गर्दा
garib,गरीब
chha,छ
nepal,नेपाल
vikaasonmukh,विकासोन्मुख
des,देश
ho,हो
chado,चाँडै
nai,नै
vikas,विकास
garnaka,गर्नका
lagi,लागि
aajdekhi,आजदेखि
hamile,हामीले
desko,देशको
sabai,सबै
nagarikta,नागरिकता
bare,बारे
sachet,सचेत
hunupardhachha,हुनुपर्दछ
purus,पुरुष
ra,र
mahila,महिला
dubai,दुबै
saman,समान
hun,हुन
ra,र
siksa,शिक्षा
pradan,प्रदान
gardachha,गर्दछ
sarkarle,सरकारले
agrim,अग्रिम
karyakram,कार्यक्रम
lyaunu,ल्याउनु
pardachha,पर्दछ
ra,र
nagarik,नागरिक
ra,र
sarkar,सरकार
dubailai,दुबैलाई
faida,फाइदा
puryaune,पुर्‍याउने
bibhinna,बिभिन्न
suvidha,सुविधा
pradan,प्रदान
gari,गरी
nagariklai,नागरिकलाई
sahayog,सहयोग
garnupardachha,गर्नुपर्दछ
nepal,नेपाल
ek,एक
sundar,सुन्दर
des,देश
ho,हो
tyasobhaye,त्यसोभए
hamile,हामीले
yaslai,यसलाई
viswabhar,विश्वभर
prakasit,प्रकाशित
garnuparnechha,गर्नुपर्नेछ
jun,जुन
pratyaksa,प्रत्यक्ष
wa,वा
apratyaksa,अप्रत्यक्ष
rupma,रूपमा
paryataklai,पर्यटकलाई
aakarsit,आकर्षित
garna,गर्न
maddhat,मद्दत
gardachha,गर्दछ
ra,र
hami,हामी
aafno,आफ्नो
arthik,आर्थिक
awastha,अवस्था
niyantran,नियन्त्रण
garna,गर्न
sakchau,सक्छौं
saphalata,सफलता
hamra,हाम्रा
balharu,बलहरू
vikas,विकास
garera,गरेर
prapta,प्राप्त
hunchha,हुन्छ
hamra,हाम्रा
kamajoriharu,कमजोरीहरू
hataera,हटाएर
hoina,होइन
prakritima,प्रकृतिमा
sahaj,सहज
rupma,रूपमा
paine,पाइने
manisbata,मानिसबाट
nabanaeka,नबनाइएका
vastu,वस्तु
prakritik,प्राकृतिक
sampada,सम्पदा
hun,हुन्
hamro,हाम्रो
des,देश
nepal,नेपाल
ho,हो
yo,यो
desko,देशको
bhugolma,भूगोलमा
prakritibata,प्रकृतिबाट
jejasta,जेजस्ता
vastuharu,वस्तुहरू
nisulka,निःशुल्क
rupma,रूपमा
hamile,हामीले
prapta,प्राप्त
gareka,गरेका
chau,छौं
tinlai,तिनलाई
prakritik,प्राकृतिक
sampada,सम्पदा
bhaninchha,भनिन्छ
ajha,अझ
spasta,स्पष्ट
sabdama,शब्दमा
bhanda,भन्दा
nepalma,नेपालमा
paine,पाइने
himal,हिमाल
pahad,पहाड
tarai,तराई
taramandal,तारामण्डल
nadinala,नदीनाला
taltalaiya,तालतलैया
upatyaka,उपत्यका
jharna,झरना
jal,जल
vayu,वायु
khanij,खनिज
padartha,पदार्थ
jivjantu,जीवजन्तु
vanaspati,वनस्पति
nai,नै
hamra,हाम्रा
prakritik,प्राकृतिक
sampada,सम्पदा
hun,हुन्
yi,यी
prakritik,प्राकृतिक
sampada,सम्पदा
nepalko,नेपालको
aksaya,अक्षय
bhandar,भण्डार
hun,हुन्
yi,यी
prakritik,प्राकृतिक
sampadabata,सम्पदाबाट
manisle,मानिसले
ekatir,एकातिर
bharpura,भरपुर
manoranjan,मनोरञ्जन
prapta,प्राप्त
gareka,गरेका
chhan,छन्
bhane,भने
arkotir,अर्कोतिर
manisko,मानिसको
mihineta,मिहिनेत
paurakh,पौरख
buddhi,बुद्धि
ksamata,क्षमता
yasma,यसमा
pokhinda,पोखिंदा
yinaibata,यिनैबाट
manisle,मानिसले
jibanma,जीवनमा
pran,प्राण
dhanta,धान्त
rogko,रोगको
upchar,उपचार
garna,गर्न
bidesi,विदेशी
mudra,मुद्रा
arjan,आर्जन
gari,गरी
arthoparjan,अर्थोपार्जन
garna,गर्न
saksam,सक्षम
baneka,बनेका
chhan,छन्
yasari,यसरी
prakritik,प्राकृतिक
sampada,सम्पदा
manislai,मानिसलाई
sukhko,सुखको
barsa,वर्षा
garaune,गराउने
sampattiko,सम्पत्तिको
rupma,रूपमा
raheko,रहेको
chha,छ
yahi,यही
manisko,मानिसको
jibanma,जीवनमा
upayog,उपयोग
hune,हुने
ra,र
nepalma,नेपालमा
payane,पायने
prakritik,प्राकृतिक
sampadako,सम्पदाको
barema,बारेमा
yaha,यहाँ
ullekh,उल्लेख
garieko,गरिएको
chha,छ
pani,पानी
viswakai,विश्वकै
pranilai,प्राणीलाई
banchanka,बाँच्नका
lagi,लागि
nabhai,नभई
nahune,नहुने
dainik,दैनिक
upabhogma,उपभोगमा
parne,पर्ने
prakritik,प्राकृतिक
sampada,सम्पदा
ho,हो
yasko,यसको
prayog,प्रयोग
pyas,प्यास
metna,मेट्न
sarir,शरीर
ra,र
lugaka,लुगाका
mayal,मयल
milkauna,मिल्काउन
sinchai,सिंचाइ
garna,गर्न
ra,र
bijuli,विजुली
utpadanma,उत्पादनमा
bhaeko,भएको
chha,छ
nepalma,नेपालमा
paniko,पानीको
strot,स्रोत
asia,एसिया
mahadesma,महादेशमा
nai,नै
pahilo,पहिलो
ra,र
viswama,विश्वमा
brazil,ब्राजिल
pachadiko,पछाडिको
dosro,दोस्रो
sthanma,स्थानमा
raheko,रहेको
chha,छ
nepalko,नेपालको
himal,हिमाल
pahadma,पहाडमा
nagabeli,नागबेली
bani,बनी
bagne,बग्ने
trisuli,त्रिशुली
karnali,कर्णाली
masyangdi,मस्याङ्दी
kali,काली
gandaki,गण्डकी
arun,अरुण
tamor,तमोर
jasta,जस्ता
nadi,नदी
paniko,पानीका
pramukhk,प्रमुख
bhandar,भण्डार
hun,हुन्
yaslai,यसलाई
prayog,प्रयोग
gari,गरी
bijuli,बिजुली
utpadan,उत्पादन
garna,गर्न
sake,सके
nepalko,नेपालको
arthik,आर्थिक
sthiti,स्थिति
baliyo,बलियो
hune,हुने
dekhinchha,देखिन्छ
nepalko,नेपालको
arko,अर्को
mahattwapurna,महत्त्वपूर्ण
prakritik,प्राकृतिक
sampada,सम्पदा
himalaya,हिमालय
srinkhalaharu,श्रृङ्खलाहरू
hun,हुन्
nepalko,नेपालको
uttar,उत्तर
disama,दिशामा
purvadekhi,पूर्वदेखि
paschimsamda,पश्चिमसम्म
paredka,परेडका
sipahi,सिपाही
himali,हिमाली
srinkhala,श्रृंखला
ubhieka,उभिएका
chhan,छन्
viswako,विश्वको
sarvochchha,सर्वोच्च
sikhar,शिखर
sagarmatha,सगरमाथा
nepalko,नेपालको
mahattwapurna,महत्वपूर्ण
prakritik,प्राकृतिक
sampada,सम्पदा
ho,हो
yasko,यसका
sathai,साथै
annapurna,अन्नपूर्ण
kanchanjangha,कञ्चनजङ्घा
lotse,लोत्से
manaslu,मनासलु
yalungkad,यालुङकाड
makalu,मकालु
machapuchhre,माछापुच्छे
aadi,आदि
himalaharu,हिमालहरू
pani,पनि
nepalma,नेपालमा
chhan,छन्
hamro,हाम्रो
desko,देशको
himalma,हिमालमा
phalam,फलाम
sun,सुन
chandi,चाँदी
abhrakh,अभ्रख
chunadhunga,चुनढुङ्गा
sisa,सिसा
gandhak,गन्धक
marble,मार्बल
soda,सोडा
sidhenaun,सिधेनुन
birenaun,विरेनुन
khari,खरी
aadika,आदिका
khani,खानी
chhan,छन्
yaha,यहाँ
yarchagumba,यार्चागुम्बा
jasta,जस्ता
prakritik,प्राकृतिक
jadibuti,जडिबुटी
chhan,छन्
bhane,भने
yak,याक
yeti,यति
chauri,चौरी
gai,गाई
kasturi,कस्तुरी
jasta,जस्ता
jantu,जन्तु
pani,पनि
raheka,रहेका
chhan,छन्
taltalaiya,तालतलैया
ra,र
jharnharu,झरनाहरू
pani,पनि
nepalka,नेपालका
prakritik,प्राकृतिक
sampada,सम्पदा
hun,हुन्
nepali,नेपाली
bhumima,भूमिमा
se,से
phoksundo,फोक्सुन्डो
chorolpa,च्छोरोल्पा
tilicho,तिलिचो
rara,रारा
jasta,जस्ता
tanharu,तानहरू
chhan,छन्
jasle,जसले
tyaha,त्यहाँ
pugne,पुग्ने
pratyek,प्रत्येक
paryataklai,पर्यटकलाई
swarga,स्वर्ग
pugeko,पुगेको
aabhas,आभास
dieko,दिएको
chha,छ
nepalko,नेपालको
pokharama,पोखरामा
phewatal,फेवाताल
beganastal,वेगनासताल
raheka,रहेका
chhan,छन्
bhane,भने
surkheta,सुर्खेतमा
bulbule,बुलबुले
tal,ताल
chitwanma,चितवनमा
nandbhauju,नन्दभाउजू
kasara,कसरा
gadwal,गडवाल
tamorhaila,तमोरघैला
jasta,जस्ता
talharu,तालहरू
raheka,रहेका
chhan,छन्
yi,यी
tan,तान
hernaka,हेर्नका
lagi,लागि
matra,मात्र
ramra,राम्रा
chhainan,छैनन्
nauka,नौका
vihar,विहार
garna,गर्न
jal,जल
vihar,बिहार
garna,गर्न
pani,पनि
upayukta,उपयुक्त
chhan,छन्
hariyo,हरियो
van,वन
pani,पनि
nepalko,नेपालको
prakritik,प्राकृतिक
sampada,सम्पदा
ho,हो
yaha,यहां
bibhinna,विभिन्न
prajatika,प्रजातिका
rukhaharu,रूखहरू
painchha,पाइन्छ
yi,यी
rukhaharu,रूखहरू
niryat,निर्यात
gari,गरी
nepalko,नेपालको
aamdani,आम्दानी
badhauna,बढाउन
sakinchha,सकिन्छ
nepalko,नेपालको
jangalma,जंगलमा
harro,हर्रो
barro,बर्रो
amala,अमला
tejpat,तेजपात
aiselu,ऐसेलु
chutro,चुत्रो
panchaule,पाँचऔंले
jasta,जस्ता
jadibuti,जडिबुटी
painchha,पाइन्छ
yi,यी
jadibuti,जडिबुटी
ausadhi,औषधी
banauna,बनाउन
prayog,प्रयोग
garinchha,गरिन्छ
hamilai,हामीलाई
prakritile,प्रकृतिले
himalko,हिमालको
chiso,चिसो
lek,लेक
pahadka,पहाडका
hariya,हरिया
van,वन
ani,अनि
taraiko,तराईको
urvara,उर्वर
phot,फॉट
dieko,दिएको
chha,छ
yi,यी
hamro,हाम्रो
nepal,नेपाल
ra,र
hami,हामी
nepaliko,नेपालीको
pewa,पेवा
ho,हो
tyasaile,त्यसैले
yi,यी
prakritik,प्राकृतिक
sampadako,सम्पदाको
prayog,प्रयोग
garera,गरेर
nepal,नेपाल
banauna,बनाउन
aawasyak,आवश्यक
chha,छ
nepaliko,नेपालीको
bhagya,भाग्य
badali,बदली
bhabisya,भविष्य
banauna,बनाउन
aawasyak,आवश्यक
chha,छ
