song_id,sentiment_label,sentiment_score
0,neutral,-0.03460288792848587
1,neutral,-0.01462661474943161
2,negative,-0.42021989822387695
3,negative,-0.4064299166202545
4,negative,-0.4268292188644409
5,neutral,-0.05929378420114517
6,negative,-0.3843953013420105
7,neutral,-0.06563735008239746
8,negative,-0.3989998400211334
9,negative,-0.42163461446762085
10,neutral,-0.1547197550535202
11,negative,-0.3974529206752777
12,negative,-0.40977001190185547
13,negative,-0.4113362431526184
14,neutral,-0.07414207607507706
15,negative,-0.4229077100753784
16,negative,-0.41768985986709595
17,negative,-0.41819387674331665
18,negative,-0.4208277761936188
19,negative,-0.42695921659469604
20,negative,-0.42063045501708984
21,negative,-0.38431909680366516
22,negative,-0.41430866718292236
23,neutral,-0.21737176179885864
24,negative,-0.41231659054756165
25,neutral,-0.05224866420030594
26,negative,-0.02969333529472351
27,negative,-0.4148194193840027
28,negative,-0.4034877121448517
29,negative,-0.011247485876083374
30,negative,-0.39688199758529663
31,negative,-0.08109676837921143
32,negative,-0.11695343255996704
33,negative,-0.09245094656944275
34,negative,-0.41837888956069946
35,neutral,-0.015247687697410583
36,negative,-0.4174821376800537
37,neutral,-0.2294217199087143
38,negative,-0.43426793813705444
39,negative,-0.4189489483833313
40,neutral,-0.015981703996658325
41,negative,-0.31740137934684753
42,neutral,-0.016723379492759705
43,negative,-0.41748276352882385
44,negative,-0.4290306270122528
45,neutral,-0.020981408655643463
46,neutral,-0.0181620791554451
47,neutral,-0.03805491328239441
48,neutral,-0.01697620004415512
49,negative,-0.41238799691200256
50,negative,-0.42432621121406555
51,negative,-0.42360562086105347
52,neutral,-0.1312689185142517
53,neutral,-0.021177679300308228
54,negative,-0.41961953043937683
55,neutral,-0.014089316129684448
56,negative,-0.4240161180496216
57,neutral,-0.2290850728750229
58,negative,-0.4200487732887268
59,negative,-0.41919758915901184
60,negative,-0.4050664007663727
61,neutral,-0.03281664848327637
62,negative,-0.4217921793460846
63,negative,-0.2842400372028351
64,neutral,-0.02250067889690399
65,negative,-0.3898831903934479
66,negative,-0.2725287079811096
67,negative,-0.411597341299057
68,negative,-0.40069565176963806
69,negative,-0.42348799109458923
70,neutral,-0.11242569983005524
71,negative,-0.21710708737373352
72,negative,-0.42397794127464294
73,negative,-0.4178367257118225
74,negative,-0.4258461892604828
75,neutral,-0.0278024822473526
76,negative,-0.41633304953575134
